,Sale,SalesAmountInEuro,time_delay_for_conversion,click_timestamp,nb_clicks_1week,product_price,product_age_group,device_type,audience_id,product_gender,product_brand,prod_category1,prod_category2,prod_category3,prod_category4,prod_category5,prod_category6,prod_category7,product_country,product_id,product_title,partner_id,user_id
10444,0,-1.0,-1,1598842113,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,0135912E122DA5C7531FC04BCEB988D0
11285,0,-1.0,-1,1598824176,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,BBBAD5A6C857F2988E8E9D66C0361A19
87581,0,-1.0,-1,1600448810,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,0B402E9643D1C91FF8EAC5A0224392B3
136195,0,-1.0,-1,1598665248,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,8621838CFEBC44C6D95D6A2213EC8788
173952,0,-1.0,-1,1601044094,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,D6C27E386E8600D508EFB88AF79785A3
214651,0,-1.0,-1,1604103709,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,E586C387FB55A8CD00905F860BDC7C0B
292877,0,-1.0,-1,1602035187,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,994740F9F33735370AC53BC99F913AD5
313592,0,-1.0,-1,1600274211,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,C096F492CB2A367D8940F1F64F40D3C1
339828,0,-1.0,-1,1598640814,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,3332C346547EA042B3AA07CBB0DBDD21
363902,0,-1.0,-1,1598595521,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,FBBB432FAACB69E48CD1F0A6917EA341
367938,0,-1.0,-1,1598591468,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,B149F5BEC5AE7A52840AB0CD8113871A
440455,0,-1.0,-1,1603224669,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,55FF0738C32002815539C45ACF78CB4E
442768,0,-1.0,-1,1603238103,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,4592C46525537D19EE5E52F71766EE4A
469284,0,-1.0,-1,1601156944,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,1BAC22682DE605CF09CFD21414E3F69D
493360,0,-1.0,-1,1603080929,-1,0.0,-1,FF2C446555E3822B0E0FC3406116E86D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,BE4BBACD28C307ABB7D46A0146276C2B
555409,0,-1.0,-1,1602828432,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,DBE65A4F26276EE048A020B5F04085D6
610829,0,-1.0,-1,1599664779,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,955394D409A976A040C104D7EFB2264D
932910,0,-1.0,-1,1598555213,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,28047323DF36F66F48EB8D918CAE9484
933270,0,-1.0,-1,1598595538,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,FBBB432FAACB69E48CD1F0A6917EA341
985580,0,-1.0,-1,1603155805,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,DA123CB867B5B263FDEA1C92F52C4D14
1027741,0,-1.0,-1,1597679362,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,49674DBDBDFD4CB98CF01960AF4D9FDE
1120987,0,-1.0,-1,1598798830,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,DC5954DDF50FAEF38586021D5F2B4E09
1246164,0,-1.0,-1,1600450987,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,32E5549A4DDB5D2CA5CB81E3B9734E1B
1474631,0,-1.0,-1,1603937884,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,55A847DD54E125A3EB815A9418007C4B
1593181,0,-1.0,-1,1600527588,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,B0A687C3CDC8E967B635AFC4E25418A7
1599351,0,-1.0,-1,1596507592,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,F6645C1713F031D4544F5CEA5AA52B0F
1695245,0,-1.0,-1,1601777764,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,3B314FEA0BED6D45D74755C44B274951
1882053,0,-1.0,-1,1597734666,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,A375D029D9223CBA440BD1845412231B
1948759,0,-1.0,-1,1600708418,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,B96C7E0DCF4A5A06F9F26ABBC31A1ECD
1989566,0,-1.0,-1,1597193823,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,E74639BB3C4E4FBEBE2DAADA4D43B62B
1994384,0,-1.0,-1,1600475662,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,2A0FC3E2823F3472ABBA996450CC6FC0
2243973,0,-1.0,-1,1603661306,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,969DD975DE310DFD3A3B5B23EC0E8EB5
2547305,0,-1.0,-1,1598154970,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,3BF255BFDF75F5774303E71B34A35AB1
2570248,0,-1.0,-1,1598404453,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,F49DDF997F26E8FF9B5B14A3A3A6D942
